name,@lat,@lon
Richie B's Pizza,35.1298675,-106.5665845
Pho Linh,35.0730831,-106.5462652
Amore Pizza,35.1841675,-106.5759683
On The Flip,35.1842036,-106.5759624
Saigon City Restaurant,35.1435902,-106.5936721
Baca Boys Cafe,35.0848491,-106.6514140
Magokoro Japanese,35.1087568,-106.5813034
Fit and Fabulous,35.0947259,-106.6767559
Federico's,35.0950471,-106.6732880
Old Town Pizza Parlor,35.0955263,-106.6711798
Fat T's Barbecue,35.0968661,-106.6710398
,35.0853874,-106.6848090
,35.2154490,-106.6982615
,35.1196906,-106.7002901
,35.1196533,-106.7008587
,35.1207202,-106.7022548
,35.1208569,-106.7021255
,35.1142340,-106.7034974
Chuck E. Cheese,35.2082808,-106.6569666
Red Lobster,35.2085206,-106.6575536
Olive Garden,35.2080890,-106.6575690
Thai Kitchen,35.2048178,-106.6483870
,35.1926269,-106.7250844
Rose Garden Chinese Cuisine,35.1934857,-106.7260660
Pizza Hut,35.1424243,-106.5868054
Mariscos La Playa,35.1405616,-106.5860731
Tako Ten,35.1313416,-106.5889598
,35.1554118,-106.6809421
,35.1557985,-106.6806780
,35.1566464,-106.6806910
,35.1529736,-106.6818714
,35.1515030,-106.6827818
Sushi Freak,35.1471763,-106.6886182
,35.1874817,-106.6618624
12th Street Tavern,35.1105323,-106.6570209
Itality,35.1106761,-106.6571160
Annapurna's World Vegetarian Café,35.1385498,-106.5319857
Fogo de Chão,35.1070692,-106.5700050
Saggio's,35.1066664,-106.5700558
Fuddruckers,35.1067842,-106.5700642
Blaze Pizza,35.1082049,-106.5708500
,35.1011397,-106.5704574
,35.1049452,-106.5779856
Nori Japan,35.1064187,-106.5746831
A Taste of the Caribbean,35.0807277,-106.6150320
Lucky Goose,35.0800843,-106.6054588
Sticky Rice Grilled Chicken,35.1656681,-106.5910780
Ichi Ban Japanese Restaurant,35.2052685,-106.6477044
Dragon House Chinese Cuisine,35.2037458,-106.6461639
Pho Kobe,35.2032900,-106.6458305
,35.1635596,-106.5929016
Oni,35.0846968,-106.6541700
,35.0920998,-106.6487829
Rising Star Chinese Eatery,35.1603010,-106.5670974
Pollitos con papas,35.0586253,-106.5739136
Little Madrid,35.1013591,-106.6674342
Arriba Chihuas Taqueria Restaurant,35.0133817,-106.7162989
China Casa,35.0818020,-106.7128565
Peter Piper Pizza,35.0861173,-106.6855511
Koyama Sushi,35.1775048,-106.6888601
